ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,   Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
KSTL , Lambert-st. Louis International Airport, MO, 90-22W, 38-45N, 184,  3115 3015+14 3017+09 2932+05 2944-12 3043-23 284638 284748 275660, , , , 8 , 8 , 284
KSYR , Syracuse Hancock International Airport, NY, 76-06W, 43-07N, 125,  2511 2814+08 2916+02 2923-05 2935-17 2965-29 298943 298952 298257, , , , 3 , 3 , 298
KT01 , , , , , ,  1718 1516+15 1614+12 1410+07 1312-08 1006-20 280937 291747 302157, , , , 7 , 7 , 291
KT06 , , , , , ,  1414 1414+15 1424+13 1319+07 1106-08 0710-21 310637 281046 291758, , , , 7 , 7 , 281
KT07 , , , , , ,  1009 1317+17 1320+12 1122+06 0910-10 0507-21 290736 271247 301858, , , , 6 , 6 , 271
KTCC , Tucumcari Municipal, NM, , , ,       1418    1719+13 2115+05 2517-12 2224-22 213540 213849 224960, , , , 0 , 0 , 213
KTLH , Tallahassee Regional Airport, FL, 84-21W, 30-24N, 25,  3109 3010+17 3206+12 3613+05 0517-12 3610-22 321737 311946 301658, , , , 7 , 7 , 311
KTRI , Tri-cities Airport, TN, , , ,       2923+13 3226+08 3135+03 3137-12 3239-22 314238 293947 284158, , , , 8 , 8 , 293
KTUL , Tulsa International Airport, OK, 95-53W, 36-12N, 206,  2231 2018+21 1814+15 1816+07 1921-10 2219-23 221939 242548 253059, , , , 9 , 9 , 242
KTUS , Tucson Intl Airport, AZ, 110-57W, 32-08N, 805,       2111+16 2029+09 2036+01 2034-14 2142-26 215742 216851 227158, , , , 2 , 2 , 216
KTVC , Traverse City, MI, , , ,  3327 3222+04 3032+02 2942-02 2951-18 2963-29 308343 308951 296954, , , , 3 , 3 , 308
KTYS , Knoxville, TN, 083-59W, 35-49N, 299,  2721 3014+14 3237+11 3144+04 3139-12 3137-23 303438 293247 283558, , , , 8 , 8 , 293
KWJF , Lancaster/fox F, CA, 34.73, -118.22, ,       3206+09 3212+01 3113-05 2809-19 3408-31 361846 362149 352549, 58.0, 60, 60, 6 , 6 , 362
